ID#,State,LOT,Information[Bedroom],Type,Informative[Rooms],Built,Internet,Water,Information[Zestimate],SecMtg 2,SecMtgStat2,FamEmp 2,ChildAge 2,Language,Family,Grandparent,SSMC,English,Multigen,Move,Nchildren,Npersons Imputation,Partner,Under18,Over60,Over65,Workers 2,WkExp 2,WkStatus 2,Vehicles,HiValue,Validation
5367,42,2,3.257647776,3,7.334741026,1,1,600,278415.0643,1,2,7,4,1,3,0,0,1,1,5,0,2,0,0,0,0,2,13,13,2,0,Training
5368,42,3,3.257647776,1,7.334741026,6,3,2,278415.0643,0,,,,1,4,0,0,1,1,6,0,2.557365399,0,0,1,1,,,,2,0,Test
5369,42,3,4,2,12,1,1,2,80000,0,,7,2,1,3,0,0,1,1,6,2,4,0,1,0,0,1,14,13,1,0,Test
5370,24,1,2,3,5,6,1,240,150000,0,3,7,2,1,3,0,0,1,1,4,1,2,4,1,0,0,1,14,13,2,0,Validation
5371,42,2,3.257647776,2,7.334741026,7,1,2,278415.0643,0,3,1,4,1,1,0,0,1,1,5,0,4,0,0,0,0,3,1,1,4,1,Validation
5372,24,1,4,2,8,6,1,800,475000,1,2,1,2,1,1,0,0,1,1,5,1,4,0,1,0,0,3,1,1,3,1,Training
5373,42,2,4,2,8,1,1,150,500000,0,3,1,2,1,1,0,0,1,1,6,1,3,0,1,0,0,2,1,1,2,1,Training
5374,42,1,3,3,7.334741026,2,1,540,89000,0,3,5,3,2,2,0,0,2,1,5,2,3,2,1,0,0,1,10,10,1,0,Validation
5375,42,1,3.257647776,2,7.334741026,5,3,40,278415.0643,0,3,7,1,1,3,0,0,1,1,2,2,3,4,1,0,0,1,13,13,2,0,Training
5376,42,1,3,2,6,5,1,2,150000,0,,1,9,1,1,0,0,1,1,7,9,9,0,0,2,0,2,1,1,2,0,Validation
5377,42,1,4,2,5,5,1,90,400000,,3,7,4,1,3,0,0,1,1,7,0,2,0,0,0,0,2,13,13,2,0,Validation
5378,42,2,7,2,10,4,1,2,300000,1,2,1,1,1,1,0,0,1,1,3,2,4,0,1,0,0,2,1,1,3,1,Validation
5379,24,1,4,2,8,11,1,490,500000,0,,4,4,1,1,0,0,1,1,4,0,2,0,0,2,2,0,9,9,2,0,Test
5380,42,2,3.257647776,2,7.334741026,14,1,2,278415.0643,1,2,1,2,1,1,0,0,1,1,3,2,4,0,1,0,0,2,1,1,3,0,Test
5381,24,1,3.257647776,2,7.334741026,6,1,430,278415.0643,0,3,3,4,1,1,0,0,1,1,6,0,2,0,0,2,1,1,8,7,2,0,Test
5382,42,1,4,2,8,1,1,800,130000,1,2,1,4,1,1,0,0,1,1,7,0,2,0,0,0,0,2,4,4,2,0,Training
5383,42,,3.257647776,7,7.334741026,7,1,1,278415.0643,0,,,,1,6,0,0,1,1,1,0,2.415609119,0,0,1,1,,,,1,0,Training
